Dpt,Arthaud,Asselineau,Cheminade,DupontAignan,Fillon,Hamon,Lasalle,LePen,Macron,Melenchon,Poutou,Groupe,Nom_Departement,Localisation_PowerBI
Territoire de Belfort,0.8271159918406126,1.3147232235169195,0.23332495040098358,5.267275826417414,17.69916450107581,5.852683935507307,0.9346969569955571,26.893844133344512,20.637382289658255,19.101908514264956,1.2378796769776734,2,Territoire de Belfort,"Territoire-de-Belfort, France"
Essonne,0.4689752953950925,1.2051574451432026,0.199041840487452,7.184271684894792,18.040151598990835,6.747855207887253,0.7166147810619949,16.433542319246435,26.20567870701394,21.875676638005285,0.92303448187372,1,Essonne,"Essonne, France"
Hauts-de-Seine,0.3078924653793985,1.063594201002066,0.16923390516358439,2.687484743783642,29.135032299140118,7.186338482909263,0.5972887344323681,7.641445572111259,32.29750439756505,18.28091066714648,0.6332745313667809,3,Hauts-de-Seine,"Hauts-de-Seine, France"
Seine-Saint-Denis,0.5977435412285985,1.6147390438320628,0.20103399470068478,3.067431384215136,12.76103931618878,8.408320737913016,0.5838854993144889,13.587163388161908,24.039637695352198,34.02112335135495,1.1178820477381828,1,Seine-Saint-Denis,"Seine-Saint-Denis, France"
Val-de-Marne,0.4522966104901882,1.2015722613349742,0.17539039169972376,4.319276325423216,20.206750062110576,7.770485383859806,0.6510504502399689,11.497119879168196,28.33262310645012,24.533594828451417,0.8598407007718165,1,Val-de-Marne,"Val-de-Marne, France"
Val-d'Oise,0.5020633490106505,1.405120608313965,0.17842222214113965,4.522583728914982,18.44991589709161,6.84462671808924,0.7251823445920553,17.177790994238677,25.313333503606756,23.961484151801187,0.9194764821997381,1,Val-d'Oise,"Val-d'Oise, France"
Guadeloupe,1.7569180877033554,1.1689029062204879,0.29044386236881026,1.8192833342242654,14.526647778906293,9.947256820085174,0.5791058605513087,13.505639600149678,30.229325920778315,24.127332014753836,2.049143814258477,1,Guadeloupe,Guadeloupe
Martinique,2.0619783277200177,1.2877068384829404,0.3413750183042905,2.1397715624542393,16.839947283643287,9.757102064723972,0.7962366378679163,10.935898374579002,25.528078781666423,27.367659979499194,2.9442451310587203,1,Martinique,Martinique
Guyane,1.721375610119602,1.7884421923320541,0.36514028093446105,1.7586348224598531,14.661500055888817,5.696933566824397,1.0171764968888557,24.296732367077762,18.745109728380342,24.714035545288574,5.2349193338052835,2,Guyane,French Guiana
La Réunion,1.4808262953663547,1.7202122803013011,0.26934489842501713,2.888324583428441,17.26432321387811,7.667199269573157,0.5532412691166401,23.458970554667886,18.91463136270258,24.534067564482996,1.248858708057521,2,La Réunion,Reunion
Mayotte,1.0081497132508301,1.2315122245698762,0.4920012073649261,3.0757621491095684,32.62300030184123,4.328403259885301,0.5493510413522487,27.189858134621186,19.209175973437972,8.418351946875942,1.8744340476909145,0,Mayotte,Mayotte
Nouvelle-Calédonie,0.9615163434775608,2.4129919720286153,0.276033400041405,2.8995008396015916,31.12851655050261,9.344880730568399,0.7993467209532354,29.08701952936305,12.753893221079752,8.859522002162262,1.4767786902215168,0,Nouvelle-Calédonie,New Caledonia
Polynésie française,0.9111105233926634,1.5947740075639365,0.26579566792732273,2.336621618047658,35.27941604295046,2.9131734151437416,0.5910978286741952,32.53550554071566,14.70339319245722,7.870725450265796,0.9983867128613367,0,Polynésie française,French Polynesia
Saint-Pierre-et-Miquelon,1.0638297872340425,1.3677811550151975,0.34194528875379937,3.001519756838906,9.916413373860182,8.24468085106383,2.0516717325227964,18.161094224924014,17.97112462006079,35.4483282674772,2.43161094224924,1,Saint-Pierre-et-Miquelon,Saint Pierre and Miquelon
Wallis et Futuna,1.0097232610321616,0.9349289454001496,0.3365744203440539,1.4771877337322363,28.534031413612563,25.224382946896036,0.5422587883320867,7.105459985041136,30.478683620044876,3.590127150336574,0.7666417352281227,3,Wallis et Futuna,"Mata-Utu, Wallis and Futuna"
Saint-Martin/Saint-Barthélemy,0.44500953591862685,1.4240305149396058,0.22886204704386523,2.7463445645263826,32.015257469802926,3.1404958677685952,0.8645899554990464,23.318499682136046,19.987285441830895,14.659885568976478,1.1697393515575334,0,Saint-Martin/Saint-Barthélemy,"Saint-Martin/Saint-Barthélemy, France"
Français établis hors de France,0.2367722456728609,1.0066429774109893,0.18588065018524902,1.5947837919291705,26.31727119986862,6.874335657142239,0.45658062618318446,6.48344489180122,40.40269328429453,15.825481530140637,0.6161131453713011,3,Français établis hors de France,"Français établis hors de France, France"
